zip,latitude,longitude,city,state,population,area,density,time_zone
40744,37.0373,-84.0936,London,KY,18151,104.5991,173.53,America/New_York
40759,36.8204,-84.0600,Rockholds,KY,2493,47.1839,52.84,America/New_York
40769,36.7121,-84.1702,Williamsburg,KY,18075,287.1932,62.94,America/New_York
40806,36.8863,-83.2876,Baxter,KY,2424,22.5521,107.48,America/New_York
40807,36.9644,-82.9474,Benham,KY,368,0.3354,1097.12,America/New_York
40810,36.9493,-83.3062,Bledsoe,KY,1172,61.1502,19.17,America/New_York
40771,36.8586,-84.0348,Woodbine,KY,1627,18.9785,85.73,America/New_York
40801,36.8606,-83.2482,Ages Brookside,KY,526,6.9790,75.37,America/New_York
40813,36.7277,-83.5930,Calvin,KY,453,8.4495,53.61,America/New_York
40815,36.7849,-83.2149,Cawood,KY,1198,31.9000,37.55,America/New_York
40823,36.9599,-82.9972,Cumberland,KY,3640,49.8373,73.04,America/New_York
40826,37.0539,-82.7809,Eolia,KY,640,26.2878,24.35,America/New_York
40828,36.8727,-83.1427,Evarts,KY,3682,44.0132,83.66,America/New_York
40831,36.7595,-83.3499,Harlan,KY,5205,51.9292,100.23,America/New_York
40854,36.8458,-83.3543,Loyall,KY,1001,1.7802,562.29,America/New_York
40824,36.8249,-83.3722,Dayhoit,KY,317,2.2708,139.60,America/New_York
40849,36.8930,-83.1340,Lejunior,KY,432,1.2475,346.28,America/New_York
40855,36.9471,-82.8942,Lynch,KY,780,12.3934,62.94,America/New_York
40845,36.7989,-83.5177,Hulen,KY,547,7.5159,72.78,America/New_York
40827,37.0467,-83.4722,Essie,KY,1076,24.7289,43.51,America/New_York
40865,36.9173,-83.2141,Putney,KY,429,3.2542,131.83,America/New_York
40902,36.8526,-83.6168,Arjay,KY,1359,41.3160,32.89,America/New_York
40906,36.8822,-83.8865,Barbourville,KY,11814,131.4527,89.87,America/New_York
40915,36.8799,-83.8165,Bimble,KY,813,8.7438,92.98,America/New_York
40935,36.9061,-83.7161,Flat Lick,KY,2935,82.7160,35.48,America/New_York
40873,36.8179,-83.4089,Wallins Creek,KY,2245,27.8714,80.55,America/New_York
40874,36.9732,-83.4748,Warbranch,KY,394,30.4248,12.95,America/New_York
40868,37.0823,-83.4684,Stinnett,KY,928,21.3275,43.51,America/New_York
40870,36.9244,-83.1448,Totz,KY,381,9.6147,39.63,America/New_York
40923,36.9195,-83.8510,Cannon,KY,452,2.4719,182.85,America/New_York
40862,37.0118,-82.8738,Partridge,KY,460,11.7620,39.11,America/New_York
40949,36.8904,-83.8716,Heidrick,KY,752,3.0954,242.94,America/New_York
40962,37.1459,-83.7406,Manchester,KY,18220,353.5065,51.54,America/New_York
40965,36.6343,-83.7167,Middlesboro,KY,12415,65.8442,188.55,America/New_York
40977,36.7095,-83.7592,Pineville,KY,10512,135.2901,77.70,America/New_York
40953,36.9363,-83.8044,Hinkle,KY,618,7.1227,86.76,America/New_York
40946,36.9819,-83.7991,Green Road,KY,236,11.9895,19.68,America/New_York
40940,36.6070,-83.9483,Frakes,KY,478,19.0265,25.12,America/New_York
40943,36.9566,-83.8579,Girdler,KY,595,5.0601,117.59,America/New_York
40995,36.7611,-83.8154,Trosper,KY,157,3.7886,41.44,America/New_York
40988,36.8490,-83.5325,Stoney Fork,KY,390,14.9089,26.16,America/New_York
40939,36.8110,-83.7129,Fourmile,KY,170,4.0769,41.70,America/New_York
41001,38.9149,-84.4027,Alexandria,KY,17398,54.2163,320.90,America/New_York
41002,38.7306,-83.9827,Augusta,KY,2656,46.8259,56.72,America/New_York
41003,38.5322,-84.3904,Berry,KY,2327,71.3063,32.63,America/New_York
41004,38.6539,-84.1066,Brooksville,KY,4010,111.3863,36.00,America/New_York
41005,39.0080,-84.7675,Burlington,KY,24458,63.2504,386.69,America/New_York
41006,38.7830,-84.3444,Butler,KY,4374,52.1238,83.92,America/New_York
41007,38.8918,-84.3045,California,KY,4292,52.9441,81.07,America/New_York
41008,38.6636,-85.1678,Carrollton,KY,6832,39.8467,171.46,America/New_York
41010,38.4977,-84.6053,Corinth,KY,3681,100.7973,36.52,America/New_York
41011,39.0680,-84.5295,Covington,KY,25886,7.1217,3634.79,America/New_York
41014,39.0657,-84.5055,Covington,KY,7101,1.0867,6534.28,America/New_York
41015,38.9781,-84.4844,Latonia,KY,20492,25.0063,819.47,America/New_York
41016,39.0871,-84.5492,Covington,KY,5956,1.5752,3781.13,America/New_York
41017,39.0289,-84.5614,Ft Mitchell,KY,40051,21.5794,1855.99,America/New_York
41018,39.0156,-84.6029,Erlanger,KY,27663,11.5480,2395.48,America/New_York
41030,38.7899,-84.5932,Crittenden,KY,5949,26.3711,225.59,America/New_York
41031,38.4161,-84.2868,Cynthiana,KY,15812,216.4910,73.04,America/New_York
41035,38.7051,-84.6596,Dry Ridge,KY,11602,114.5666,101.27,America/New_York
41039,38.4115,-83.8807,Ewing,KY,2709,79.8435,33.93,America/New_York
41040,38.6499,-84.3304,Falmouth,KY,7222,145.2307,49.73,America/New_York
41041,38.4090,-83.7260,Flemingsburg,KY,7045,105.8400,66.56,America/New_York
41042,39.0011,-84.6528,Florence,KY,51892,29.8238,1739.95,America/New_York
41043,38.7587,-84.1976,Foster,KY,1631,45.3045,36.00,America/New_York
41045,38.7200,-85.0264,Ghent,KY,1620,44.0483,36.78,America/New_York
41046,38.7196,-84.8018,Glencoe,KY,1263,15.0974,83.66,America/New_York
41048,39.0949,-84.7069,Hebron,KY,15560,24.5114,634.81,America/New_York
41049,38.2742,-83.6476,Hillsboro,KY,2393,89.7031,26.68,America/New_York
41051,38.9340,-84.5450,Independence,KY,30166,32.7627,920.74,America/New_York
41055,38.5183,-83.8709,Mayslick,KY,2060,71.6550,28.75,America/New_York
41034,38.7096,-83.8954,Dover,KY,932,25.3413,36.78,America/New_York
41056,38.6001,-83.7785,Maysville,KY,13947,137.3715,101.53,America/New_York
41059,39.0075,-84.3482,Melbourne,KY,2640,13.2896,198.65,America/New_York
41063,38.8479,-84.4977,Morning View,KY,3055,32.6743,93.50,America/New_York
41064,38.5106,-84.0597,Mount Olivet,KY,1848,75.9060,24.35,America/New_York
41071,39.0738,-84.4828,Newport,KY,20793,5.4022,3848.98,America/New_York
41073,39.1020,-84.4791,Bellevue,KY,5792,0.9126,6346.77,America/New_York
41074,39.1128,-84.4641,Dayton,KY,5458,1.3254,4118.08,America/New_York
41075,39.0798,-84.4510,Fort Thomas,KY,16525,6.0426,2734.77,America/New_York
41076,39.0179,-84.4359,Newport,KY,17198,21.8787,786.06,America/New_York
41083,38.6704,-84.9831,Sanders,KY,1270,32.9094,38.59,America/New_York
41091,38.9186,-84.7400,Union,KY,20170,61.3203,328.93,America/New_York
41093,38.3907,-83.5617,Wallingford,KY,2950,111.6668,26.42,America/New_York
41080,39.0505,-84.8304,Petersburg,KY,2207,33.9493,65.01,America/New_York
41094,38.8840,-84.6252,Walton,KY,15769,52.1717,302.25,America/New_York
41095,38.7922,-84.8237,Warsaw,KY,3652,27.6479,132.09,America/New_York
41097,38.6199,-84.5815,Williamstown,KY,7194,98.1490,73.30,America/New_York
41098,38.5918,-85.0007,Worthville,KY,1821,45.3608,40.14,America/New_York
41101,38.4722,-82.6460,Ashland,KY,18594,9.5582,1945.34,America/New_York
41102,38.4211,-82.7250,Ashland,KY,20300,47.8502,424.24,America/New_York
41129,38.3203,-82.6399,Catlettsburg,KY,10444,90.0100,116.03,America/New_York
41139,38.5154,-82.7285,Flatwoods,KY,8004,5.8909,1358.71,America/New_York
41143,38.3326,-82.9724,Grayson,KY,14234,193.5132,73.56,America/New_York
41464,37.6677,-82.9733,Royalton,KY,635,13.1814,48.17,America/New_York
41141,38.5479,-83.1464,Garrison,KY,1777,46.9934,37.81,America/New_York
41144,38.5369,-82.9190,Greenup,KY,10268,150.1703,68.38,America/New_York
41164,38.2897,-83.1626,Olive Hill,KY,13030,241.8706,53.87,America/New_York
41168,38.3073,-82.7622,Rush,KY,2333,41.8966,55.68,America/New_York
41169,38.5261,-82.7123,Russell,KY,5309,6.3168,840.45,America/New_York
41171,38.0942,-83.1047,Sandy Hook,KY,5199,128.6759,40.40,America/New_York
41175,38.6513,-82.9723,South Shore,KY,5429,74.5960,72.78,America/New_York
41179,38.5267,-83.3877,Vanceburg,KY,7816,324.4917,24.09,America/New_York
41183,38.5525,-82.7370,Worthington,KY,1598,1.2735,1254.85,America/New_York
41189,38.5458,-83.5547,Tollesboro,KY,2076,55.6630,37.30,America/New_York
41159,38.0126,-82.9657,Martha,KY,538,22.0982,24.35,America/New_York
41174,38.7049,-83.0116,South Portsmouth,KY,1032,9.3097,110.85,America/New_York
41180,38.1352,-82.8539,Webbville,KY,841,55.0359,15.28,America/New_York
41149,38.0642,-83.0393,Isonville,KY,513,23.3024,22.01,America/New_York
41222,37.7693,-82.8553,Hagerhill,KY,2395,26.3451,90.91,America/New_York
41224,37.8274,-82.5392,Inez,KY,5840,82.2933,70.97,America/New_York
41230,38.0640,-82.6664,Louisa,KY,12328,237.9933,51.80,America/New_York
41231,37.8072,-82.4104,Lovely,KY,1026,5.9037,173.79,America/New_York
41240,37.8239,-82.7975,Paintsville,KY,6610,42.8210,154.36,America/New_York
41250,37.7379,-82.4523,Pilgrim,KY,1259,79.6889,15.80,America/New_York
41216,37.7290,-82.8138,East Point,KY,1283,15.7260,81.58,America/New_York
41219,37.9282,-82.9077,Flatgap,KY,1944,43.1369,45.07,America/New_York
41256,37.8303,-82.8850,Staffordsville,KY,3253,29.4833,110.33,America/New_York
41265,37.7481,-82.7054,Van Lear,KY,1392,22.5821,61.64,America/New_York
41301,37.7194,-83.5006,Campton,KY,6511,218.6009,29.78,America/New_York
41311,37.5822,-83.7110,Beattyville,KY,6507,152.2646,42.73,America/New_York
41314,37.4259,-83.6404,Booneville,KY,4759,204.1622,23.31,America/New_York
41332,37.8002,-83.3898,Hazel Green,KY,868,31.0312,27.97,America/New_York
41339,37.5359,-83.2961,Jackson,KY,10712,344.6604,31.08,America/New_York
41257,37.9299,-82.7967,Stambaugh,KY,539,8.2257,65.53,America/New_York
41267,37.8749,-82.4386,Warfield,KY,939,5.8101,161.62,America/New_York
41260,37.8220,-82.7527,Thelma,KY,889,2.5482,348.87,America/New_York
41262,37.8655,-82.6033,Tomahawk,KY,1001,15.0972,66.30,America/New_York
41465,37.7285,-83.0857,Salyersville,KY,11551,251.9697,45.84,America/New_York
41472,37.9429,-83.2196,West Liberty,KY,10384,260.3431,39.89,America/New_York
41501,37.5161,-82.5173,Pikeville,KY,23078,198.8942,116.03,America/New_York
41512,37.2538,-82.4761,Ashcamp,KY,854,11.6103,73.56,America/New_York
41365,37.7093,-83.6314,Rogers,KY,234,6.5947,35.48,America/New_York
41408,37.7808,-83.2793,Cannel City,KY,485,7.6746,63.20,America/New_York
41425,37.8839,-83.4242,Ezel,KY,1075,29.4369,36.52,America/New_York
41352,37.8236,-83.3336,Mize,KY,670,20.8620,32.12,America/New_York
41385,37.6528,-83.3504,Vancleve,KY,561,23.5438,23.83,America/New_York
41503,37.6644,-82.2877,South Williamson,KY,533,1.3784,386.69,America/New_York
41513,37.3493,-82.3425,Belcher,KY,334,6.4803,51.54,America/New_York
41522,37.3109,-82.4091,Elkhorn City,KY,5107,62.2026,82.10,America/New_York
41527,37.6321,-82.2890,Forest Hills,KY,884,7.8644,112.41,America/New_York
41537,37.2289,-82.6111,Jenkins,KY,5061,52.5286,96.35,America/New_York
41539,37.5068,-82.3271,Kimper,KY,1515,32.1398,47.14,America/New_York
41548,37.3815,-82.2727,Mouthcard,KY,909,17.5483,51.80,America/New_York
41519,37.5840,-82.3216,Canada,KY,1107,10.6322,104.12,America/New_York
41531,37.5928,-82.2327,Hardy,KY,981,9.3522,104.89,America/New_York
41554,37.4486,-82.2993,Phyllis,KY,817,25.0353,32.63,America/New_York
41562,37.3987,-82.4636,Shelbiana,KY,3045,29.5397,103.08,America/New_York
41564,37.6077,-82.3648,Sidney,KY,935,13.4203,69.67,America/New_York
41557,37.4855,-82.4181,Raccoon,KY,1594,19.3537,82.36,America/New_York
41558,37.5386,-82.2092,Ransom,KY,803,14.5559,55.17,America/New_York
41601,37.6074,-82.7225,Allen,KY,712,4.2820,166.28,America/New_York
41572,37.3135,-82.6436,Virgie,KY,3423,41.5606,82.36,America/New_York
41603,37.5588,-82.6883,Banner,KY,1499,13.0353,115.00,America/New_York
41553,37.4771,-82.1636,Phelps,KY,2157,32.1553,67.08,America/New_York
41555,37.5381,-82.2585,Pinsonfork,KY,621,5.6021,110.85,America/New_York
41630,37.4538,-82.8647,Garrett,KY,1397,20.9064,66.82,America/New_York
41635,37.4771,-82.6267,Harold,KY,2800,18.8671,148.41,America/New_York
41642,37.5956,-82.6462,Ivel,KY,445,5.6705,78.48,America/New_York
41640,37.4776,-82.9452,Hueysville,KY,1053,40.6565,25.90,America/New_York
41607,37.6253,-82.8418,Blue River,KY,471,8.4979,55.43,America/New_York
41616,37.5811,-82.8767,David,KY,581,10.0145,58.02,America/New_York
41604,37.3889,-82.6657,Beaver,KY,375,3.3208,112.92,America/New_York
41631,37.4730,-82.6552,Grethel,KY,1181,12.7727,92.46,America/New_York
41632,37.5464,-82.9402,Gunlock,KY,480,24.7105,19.42,America/New_York
41606,37.3486,-82.7356,Bevinsville,KY,986,15.7313,62.68,America/New_York
41605,37.5555,-82.6267,Betsy Layne,KY,727,1.8455,393.94,America/New_York
41649,37.5708,-82.7820,Martin,KY,2205,19.5265,112.92,America/New_York
41653,37.6611,-82.7636,Prestonsburg,KY,10404,109.1578,95.31,America/New_York
41669,37.3317,-82.7155,Wheelwright,KY,746,2.9972,248.90,America/New_York
41701,37.2983,-83.1913,Hazard,KY,16445,141.0988,116.55,America/New_York
41719,37.2984,-83.2543,Bonnyman,KY,1108,12.5088,88.58,America/New_York
41721,37.3093,-83.4943,Buckhorn,KY,531,25.6275,20.72,America/New_York
41645,37.5240,-82.7933,Langley,KY,1349,13.8157,97.64,America/New_York
41647,37.4355,-82.7203,Mc Dowell,KY,1707,17.3899,98.16,America/New_York
41660,37.4126,-82.6371,Teaberry,KY,678,5.7032,118.88,America/New_York
41655,37.5050,-82.7249,Printer,KY,905,16.7188,54.13,America/New_York
41667,37.3202,-82.6915,Weeksbury,KY,710,7.8324,90.65,America/New_York
41722,37.3718,-83.1176,Bulan,KY,1043,14.8053,70.45,America/New_York
41731,37.1092,-83.0691,Cornettsville,KY,1048,27.5262,38.07,America/New_York
41740,37.3572,-83.0578,Emmalena,KY,1090,22.2673,48.95,America/New_York
41725,37.3392,-83.0351,Carrie,KY,241,1.8836,127.95,America/New_York
41735,37.0171,-83.1036,Delphia,KY,195,5.7473,33.93,America/New_York
41749,37.1977,-83.4101,Hyden,KY,3399,88.6730,38.33,America/New_York
41751,37.2078,-83.1370,Jeff,KY,195,0.5118,380.99,America/New_York
41723,37.2535,-83.3196,Busy,KY,1186,15.9553,74.33,America/New_York
41773,37.2286,-83.0285,Vicco,KY,1446,18.4869,78.22,America/New_York
41774,37.1585,-83.1405,Viper,KY,2383,43.1963,55.17,America/New_York
41822,37.3262,-82.9734,Hindman,KY,2067,24.4808,84.43,America/New_York
41766,37.1799,-83.4657,Thousandsticks,KY,217,8.1344,26.68,America/New_York
41776,37.1671,-83.2913,Wooton,KY,1370,27.2660,50.25,America/New_York
41824,37.2015,-82.8771,Isom,KY,1099,9.6219,114.22,America/New_York
41815,37.1615,-82.7974,Ermine,KY,1045,8.3536,125.10,America/New_York
41764,37.1269,-83.2553,Smilax,KY,736,18.9447,38.85,America/New_York
41836,37.2595,-82.9099,Mallie,KY,1316,17.8284,73.81,America/New_York
41837,37.1271,-82.7459,Mayking,KY,1436,14.9445,96.09,America/New_York
41839,37.4014,-82.8766,Mousie,KY,1541,38.1399,40.40,America/New_York
41840,37.1972,-82.7155,Neon,KY,861,2.9315,293.70,America/New_York
41831,37.3794,-82.9522,Leburn,KY,801,9.4867,84.43,America/New_York
41844,37.3268,-82.8643,Pippa Passes,KY,1598,15.6200,102.30,America/New_York
41826,37.1699,-82.9258,Jeremiah,KY,664,6.8732,96.61,America/New_York
41834,37.2613,-82.9569,Littcarr,KY,341,6.3913,53.35,America/New_York
41828,37.2952,-82.7865,Kite,KY,731,17.1055,42.73,America/New_York
41835,37.2121,-82.6695,Mc Roberts,KY,895,6.7230,133.13,America/New_York
41858,37.1354,-82.8527,Whitesburg,KY,7170,78.2020,91.69,America/New_York
42001,37.0376,-88.7109,Paducah,KY,28782,75.4432,381.51,America/Chicago
42003,37.0104,-88.5856,Paducah,KY,28667,67.2441,426.31,America/Chicago
42021,36.8048,-89.0266,Arlington,KY,1573,60.1325,26.16,America/Chicago
42023,36.8716,-88.9913,Bardwell,KY,2290,94.0610,24.35,America/Chicago
42024,37.0757,-89.0517,Barlow,KY,1179,36.1281,32.63,America/Chicago
42025,36.8564,-88.3346,Benton,KY,19582,201.6173,97.12,America/Chicago
42027,36.9163,-88.6285,Boaz,KY,1860,36.6403,50.76,America/Chicago
42029,37.0078,-88.3922,Calvert City,KY,6210,45.7575,135.72,America/Chicago
42031,36.6876,-88.9912,Clinton,KY,3013,132.1961,22.79,America/Chicago
42020,36.6923,-88.2930,Almo,KY,1924,21.0442,91.43,America/Chicago
41855,37.1907,-82.7851,Thornton,KY,846,10.8519,77.96,America/New_York
42028,37.2393,-88.3379,Burna,KY,850,36.4652,23.31,America/Chicago
42038,37.0415,-88.0223,Eddyville,KY,5313,87.6650,60.61,America/Chicago
42041,36.5476,-88.8748,Fulton,KY,4340,103.4372,41.96,America/Chicago
42044,36.9587,-88.2648,Gilbertsville,KY,3198,22.3687,142.97,America/Chicago
42045,37.0650,-88.2620,Grand Rivers,KY,2221,38.2827,58.02,America/Chicago
42049,36.5178,-88.3264,Hazel,KY,1605,46.2458,34.71,America/Chicago
42050,36.5519,-89.2208,Hickman,KY,2885,103.1393,27.97,America/Chicago
42051,36.8553,-88.6441,Hickory,KY,3855,76.3294,50.50,America/Chicago
42053,37.1129,-88.8811,Kevil,KY,5393,127.7453,42.22,America/Chicago
42086,37.0891,-88.7690,West Paducah,KY,4142,34.3183,120.69,America/Chicago
42035,36.9050,-88.8420,Cunningham,KY,990,26.0028,38.07,America/Chicago
42055,37.0685,-88.1678,Kuttawa,KY,2577,44.4190,58.02,America/Chicago
42064,37.3540,-88.0939,Marion,KY,8294,293.7917,28.23,America/Chicago
42066,36.7329,-88.6394,Mayfield,KY,23285,217.6849,106.97,America/Chicago
42071,36.6203,-88.2839,Murray,KY,31614,226.0413,139.86,America/Chicago
42081,37.2322,-88.4081,Smithland,KY,1708,90.3373,18.91,America/Chicago
42056,37.1115,-88.9861,La Center,KY,1898,51.9732,36.52,America/Chicago
42082,36.9179,-88.4996,Symsonia,KY,1689,25.8780,65.27,America/Chicago
42085,36.5704,-88.8001,Water Valley,KY,981,30.5457,32.12,America/Chicago
42054,36.7153,-88.4339,Kirksey,KY,964,28.6309,33.67,America/Chicago
42058,37.0592,-88.4748,Ledbetter,KY,2408,16.9042,142.45,America/Chicago
42087,36.9741,-89.0062,Wickliffe,KY,2401,69.7016,34.45,America/Chicago
42088,36.6160,-88.7467,Wingo,KY,2511,59.8458,41.96,America/Chicago
42101,37.0638,-86.4762,Bowling Green,KY,61396,312.3204,196.58,America/Chicago
42103,36.9490,-86.3326,Bowling Green,KY,20610,77.1830,267.03,America/Chicago
42104,36.8784,-86.4513,Bowling Green,KY,33415,63.3363,527.58,America/Chicago
42120,36.6711,-86.2697,Adolphus,KY,2779,48.5510,57.24,America/Chicago
42127,37.1213,-85.9289,Cave City,KY,6622,94.6951,69.93,America/Chicago
42129,36.9912,-85.5887,Edmonton,KY,6954,200.3696,34.71,America/Chicago
42133,36.7248,-85.9575,Fountain Run,KY,1456,74.9553,19.42,America/Chicago
42134,36.7244,-86.5660,Franklin,KY,17543,222.0783,78.99,America/Chicago
42140,36.6565,-85.8341,Gamaliel,KY,1005,32.8841,30.56,America/Chicago
42141,36.9476,-85.9166,Glasgow,KY,30948,283.1537,109.30,America/Chicago
42102,37.0037,-86.4182,Bowling Green,KY,94,0.0237,3963.72,America/Chicago
42123,36.8216,-85.9893,Austin,KY,786,22.1515,35.48,America/Chicago
42157,36.7909,-85.8152,Mount Hermon,KY,623,25.0564,24.86,America/Chicago
42159,36.9930,-86.2453,Oakland,KY,1624,38.4681,42.22,America/Chicago
42160,37.0779,-86.0750,Park City,KY,1719,34.5682,49.73,America/Chicago
42164,36.7756,-86.1847,Scottsville,KY,16463,255.2770,64.49,America/Chicago
42166,36.8784,-85.7094,Summer Shade,KY,2923,90.2861,32.37,America/Chicago
42167,36.7241,-85.6736,Tompkinsville,KY,7992,203.0084,39.37,America/Chicago
42170,36.8443,-86.5763,Woodburn,KY,1645,38.2613,42.99,America/Chicago
42171,37.0347,-86.1660,Smiths Grove,KY,7230,107.3661,67.34,America/Chicago
42202,36.6874,-86.8604,Adairville,KY,2295,58.6824,39.11,America/Chicago
42206,36.8856,-86.7215,Auburn,KY,6206,136.1448,45.58,America/Chicago
42207,37.3034,-86.2786,Bee Spring,KY,1127,18.0555,62.42,America/Chicago
42154,37.0542,-85.7254,Knob Lick,KY,444,13.7143,32.37,America/Chicago
42163,37.0791,-86.1341,Rocky Hill,KY,84,1.3238,63.45,America/Chicago
42210,37.2098,-86.2491,Brownsville,KY,4218,142.8577,29.53,America/Chicago
42211,36.8215,-87.8390,Cadiz,KY,13373,279.0996,47.91,America/Chicago
42215,36.9970,-87.6671,Cerulean,KY,1254,56.2991,22.27,America/Chicago
42217,37.0484,-87.4615,Crofton,KY,3254,125.6376,25.90,America/Chicago
42220,36.8955,-87.1790,Elkton,KY,7131,184.7848,38.59,America/Chicago
42234,36.7065,-87.1766,Guthrie,KY,2625,62.9514,41.70,America/Chicago
42240,36.8788,-87.4624,Hopkinsville,KY,41743,264.2140,157.99,America/Chicago
42256,37.0148,-86.9459,Lewisburg,KY,4388,166.0996,26.42,America/Chicago
42259,37.2439,-86.1514,Mammoth Cave,KY,1256,32.1155,39.11,America/Chicago
42261,37.2198,-86.6690,Morgantown,KY,10769,299.1318,36.00,America/Chicago
42262,36.6816,-87.4487,Oak Grove,KY,8750,37.5794,232.84,America/Chicago
42223,36.6283,-87.4628,Fort Campbell,KY,20501,15.6556,1309.50,America/Chicago
42232,36.8753,-87.6586,Gracey,KY,865,28.7912,30.04,America/Chicago
42266,36.7662,-87.3603,Pembroke,KY,2138,62.0666,34.45,America/Chicago
42273,37.2175,-86.8533,Rochester,KY,540,22.1803,24.35,America/Chicago
42276,36.8571,-86.8808,Russellville,KY,14272,198.9331,71.74,America/Chicago
42286,36.7263,-87.2726,Trenton,KY,1077,47.7968,22.53,America/Chicago
42301,37.7404,-87.2462,Owensboro,KY,43295,174.4915,248.12,America/Chicago
42303,37.7615,-87.0490,Owensboro,KY,41387,50.9879,811.70,America/Chicago
42320,37.3524,-86.8709,Beaver Dam,KY,8969,161.0674,55.68,America/Chicago
42323,37.1737,-87.0349,Beechmont,KY,881,2.2335,394.46,America/Chicago
42324,37.1353,-87.0009,Belton,KY,1069,30.5736,34.96,America/Chicago
42325,37.3273,-87.2704,Bremen,KY,2515,37.6375,66.82,America/Chicago
42275,37.2206,-86.4474,Roundhill,KY,678,33.5612,20.20,America/Chicago
42274,36.9469,-86.6024,Rockfield,KY,2193,34.8445,62.94,America/Chicago
42280,36.9538,-87.0991,Sharon Grove,KY,412,18.7146,22.01,America/Chicago
42327,37.5875,-87.3016,Calhoun,KY,4038,124.7264,32.37,America/Chicago
42328,37.4186,-87.0423,Centertown,KY,1331,61.9159,21.50,America/Chicago
42330,37.3207,-87.1200,Central City,KY,8960,82.9610,108.00,America/Chicago
42337,37.2272,-87.0108,Drakesboro,KY,2396,58.5507,40.92,America/Chicago
42343,37.6328,-86.6975,Fordsville,KY,1508,60.6502,24.86,America/Chicago
42345,37.1441,-87.1846,Greenville,KY,10874,141.3627,76.92,America/Chicago
42347,37.5246,-86.8843,Hartford,KY,6244,125.5636,49.73,America/Chicago
42348,37.8349,-86.7631,Hawesville,KY,4988,115.3220,43.25,America/Chicago
42349,37.4276,-86.6790,Horse Branch,KY,1135,46.6198,24.35,America/Chicago
42350,37.4496,-87.1889,Island,KY,1578,45.8097,34.45,America/Chicago
42351,37.9060,-86.8796,Lewisport,KY,4152,74.2174,55.94,America/Chicago
42352,37.5150,-87.0814,Livermore,KY,1918,21.2190,90.39,America/Chicago
42333,37.3640,-86.7640,Cromwell,KY,1401,40.0688,34.96,America/Chicago
42355,37.8579,-86.9845,Maceo,KY,1898,29.3129,64.75,America/Chicago
42366,37.7227,-86.9454,Philpot,KY,5684,78.0998,72.78,America/Chicago
42367,37.2393,-87.1600,Powderly,KY,796,1.2596,631.96,America/Chicago
42372,37.4054,-87.2747,Sacramento,KY,1528,30.7273,49.73,America/Chicago
42376,37.6169,-87.0876,Utica,KY,5998,103.3857,58.02,America/Chicago
42378,37.6561,-86.8690,Whitesville,KY,2903,58.3778,49.73,America/Chicago
42406,37.7632,-87.7317,Corydon,KY,3064,91.7067,33.41,America/Chicago
42408,37.1806,-87.6943,Dawson Springs,KY,6608,126.3051,52.32,America/Chicago
42354,37.3778,-86.9297,Mc Henry,KY,281,0.9653,291.11,America/Chicago
42369,37.3554,-87.0065,Rockport,KY,244,3.1614,77.18,America/Chicago
42404,37.4771,-87.8331,Clay,KY,2649,91.3200,29.01,America/Chicago
42409,37.5431,-87.7007,Dixon,KY,2722,91.3887,29.78,America/Chicago
42410,37.2772,-87.5125,Earlington,KY,1464,2.6364,555.29,America/Chicago
42411,37.2031,-88.0181,Fredonia,KY,1783,93.0297,19.17,America/Chicago
42413,37.4436,-87.4709,Hanson,KY,3175,53.2989,59.57,America/Chicago
42420,37.8034,-87.5168,Henderson,KY,38379,189.4912,202.54,America/Chicago
42431,37.3292,-87.4783,Madisonville,KY,26055,161.2161,161.62,America/Chicago
42437,37.6640,-87.9365,Morganfield,KY,8618,179.8609,47.91,America/Chicago
42440,37.2416,-87.4649,Mortons Gap,KY,1041,1.3898,749.02,America/Chicago
42442,37.1637,-87.4956,Nortonville,KY,3131,54.7007,57.24,America/Chicago
42445,37.1302,-87.8547,Princeton,KY,10752,251.5981,42.73,America/Chicago
42450,37.3961,-87.7633,Providence,KY,3947,57.9447,68.12,America/Chicago
42452,37.6882,-87.5323,Robards,KY,2485,62.3028,39.89,America/Chicago
42436,37.4144,-87.5703,Manitou,KY,1092,19.7945,55.17,America/Chicago
42451,37.8864,-87.3916,Reed,KY,937,47.6023,19.68,America/Chicago
42455,37.5871,-87.5417,Sebree,KY,3103,70.0628,44.29,America/Chicago
42456,37.5134,-87.4944,Slaughters,KY,1296,51.0600,25.38,America/Chicago
42459,37.5586,-88.0153,Sturgis,KY,4128,113.0375,36.52,America/Chicago
42461,37.7935,-87.9106,Uniontown,KY,1113,27.1982,40.92,America/Chicago
42462,37.7409,-87.8007,Waverly,KY,1183,39.7181,29.78,America/Chicago
42501,37.0617,-84.4498,Somerset,KY,17511,198.8539,88.06,America/New_York
42503,37.1564,-84.5252,Somerset,KY,23669,133.6060,177.16,America/New_York
42518,36.9346,-84.6330,Bronston,KY,2763,24.0813,114.74,America/New_York
42519,36.9393,-84.5357,Burnside,KY,3638,56.1856,64.75,America/New_York
42528,37.1841,-85.0141,Dunnville,KY,1491,47.9732,31.08,America/Chicago
42533,37.0676,-84.5929,Ferguson,KY,735,1.3443,546.75,America/New_York
42539,37.3038,-84.9539,Liberty,KY,9696,204.5708,47.40,America/New_York
42464,37.1815,-87.3670,White Plains,KY,1496,50.6674,29.53,America/Chicago
42544,37.0340,-84.8166,Nancy,KY,5490,136.7548,40.14,America/New_York
