zip,latitude,longitude,city,state,population,area,density,time_zone
11201,40.6946,-73.9897,Brooklyn,NY,62823,1.7291,36332.63,America/New_York
11203,40.6496,-73.9344,Brooklyn,NY,75451,2.1247,35511.86,America/New_York
11204,40.6188,-73.9848,Brooklyn,NY,76978,1.5646,49199.69,America/New_York
11205,40.6947,-73.9661,Brooklyn,NY,46064,1.0783,42718.76,America/New_York
11206,40.7019,-73.9424,Brooklyn,NY,88349,1.5516,56939.36,America/New_York
11207,40.6707,-73.8941,Brooklyn,NY,91972,2.6315,34950.09,America/New_York
11208,40.6685,-73.8709,Brooklyn,NY,98660,3.7363,26405.98,America/New_York
11209,40.6221,-74.0302,Brooklyn,NY,67809,2.0900,32445.05,America/New_York
11210,40.6281,-73.9464,Brooklyn,NY,67040,1.7749,37771.37,America/New_York
11211,40.7124,-73.9530,Brooklyn,NY,102624,2.6332,38973.12,America/New_York
11212,40.6629,-73.9130,Brooklyn,NY,76527,1.3936,54913.47,America/New_York
11213,40.6711,-73.9363,Brooklyn,NY,66295,1.1336,58480.40,America/New_York
11214,40.5988,-73.9964,Brooklyn,NY,92946,2.2745,40863.55,America/New_York
11215,40.6626,-73.9868,Brooklyn,NY,70156,2.4034,29190.47,America/New_York
11216,40.6808,-73.9494,Brooklyn,NY,56308,0.9691,58102.52,America/New_York
11217,40.6826,-73.9793,Brooklyn,NY,41407,0.8655,47842.54,America/New_York
11218,40.6435,-73.9761,Brooklyn,NY,74508,1.4149,52658.11,America/New_York
11219,40.6327,-73.9967,Brooklyn,NY,90036,1.4469,62225.01,America/New_York
11220,40.6412,-74.0163,Brooklyn,NY,95643,1.6757,57075.59,America/New_York
11221,40.6914,-73.9279,Brooklyn,NY,83835,1.4699,57032.86,America/New_York
11222,40.7286,-73.9477,Brooklyn,NY,36492,1.5163,24066.96,America/New_York
11223,40.5972,-73.9736,Brooklyn,NY,81789,2.1542,37967.17,America/New_York
11224,40.5767,-73.9887,Brooklyn,NY,46707,1.5556,30026.00,America/New_York
11225,40.6630,-73.9543,Brooklyn,NY,58882,0.9158,64294.41,America/New_York
11226,40.6464,-73.9568,Brooklyn,NY,100277,1.2729,78775.56,America/New_York
11228,40.6168,-74.0130,Brooklyn,NY,44994,1.5855,28379.29,America/New_York
11229,40.6008,-73.9440,Brooklyn,NY,83615,2.2564,37056.79,America/New_York
11230,40.6222,-73.9652,Brooklyn,NY,89075,1.8974,46944.85,America/New_York
11231,40.6777,-74.0047,Brooklyn,NY,37845,1.6139,23449.50,America/New_York
11232,40.6563,-74.0056,Brooklyn,NY,27602,1.1631,23731.03,America/New_York
11233,40.6783,-73.9200,Brooklyn,NY,76819,1.5453,49712.25,America/New_York
11234,40.6060,-73.9107,Brooklyn,NY,95666,8.0779,11842.98,America/New_York
11235,40.5840,-73.9488,Brooklyn,NY,78128,2.2158,35259.34,America/New_York
11236,40.6396,-73.9011,Brooklyn,NY,100331,3.8465,26084.04,America/New_York
11237,40.7043,-73.9211,Brooklyn,NY,49310,0.9722,50719.76,America/New_York
11238,40.6791,-73.9638,Brooklyn,NY,54540,1.2251,44518.29,America/New_York
11239,40.6484,-73.8797,Brooklyn,NY,13244,0.6104,21697.12,America/New_York
11354,40.7686,-73.8274,Flushing,NY,55200,2.1909,25194.64,America/New_York
11355,40.7515,-73.8209,Flushing,NY,80853,1.6338,49486.41,America/New_York
11356,40.7850,-73.8416,College Point,NY,23362,1.5717,14863.69,America/New_York
11357,40.7864,-73.8110,Whitestone,NY,39902,2.8647,13928.70,America/New_York
11358,40.7604,-73.7963,Flushing,NY,37190,1.9302,19267.19,America/New_York
11360,40.7804,-73.7815,Bayside,NY,19621,1.4478,13551.86,America/New_York
11361,40.7638,-73.7724,Bayside,NY,27246,1.6816,16202.71,America/New_York
11362,40.7565,-73.7369,Little Neck,NY,18721,2.6581,7042.96,America/New_York
11363,40.7727,-73.7467,Little Neck,NY,6952,0.8558,8123.76,America/New_York
11364,40.7453,-73.7606,Oakland Gardens,NY,36806,2.6284,14003.04,America/New_York
11365,40.7398,-73.7948,Fresh Meadows,NY,44983,2.6603,16909.26,America/New_York
11366,40.7282,-73.7849,Fresh Meadows,NY,14650,1.1833,12380.41,America/New_York
11367,40.7304,-73.8262,Flushing,NY,41824,2.4000,17427.00,America/New_York
11368,40.7496,-73.8526,Corona,NY,112425,2.6892,41806.05,America/New_York
11369,40.7634,-73.8724,East Elmhurst,NY,34118,0.9634,35415.77,America/New_York
11370,40.7756,-73.8875,East Elmhurst,NY,32514,1.2209,26630.79,America/New_York
11372,40.7517,-73.8836,Jackson Heights,NY,61844,0.6875,89949.81,America/New_York
11373,40.7389,-73.8786,Elmhurst,NY,93967,1.4187,66235.87,America/New_York
11374,40.7265,-73.8615,Rego Park,NY,42653,0.9226,46232.34,America/New_York
11375,40.7209,-73.8461,Forest Hills,NY,73488,2.1268,34552.53,America/New_York
11377,40.7449,-73.9052,Woodside,NY,86421,2.4404,35412.66,America/New_York
11378,40.7247,-73.9096,Maspeth,NY,37279,2.7462,13574.91,America/New_York
11379,40.7168,-73.8795,Middle Village,NY,37851,2.2553,16782.87,America/New_York
11385,40.7010,-73.8901,Ridgewood,NY,106717,3.9139,27266.37,America/New_York
11411,40.6940,-73.7362,Cambria Heights,NY,20759,1.3067,15886.73,America/New_York
11412,40.6981,-73.7590,Saint Albans,NY,37458,1.7687,21178.08,America/New_York
11413,40.6699,-73.7509,Springfield Gardens,NY,42443,3.3859,12535.29,America/New_York
11414,40.6581,-73.8450,Howard Beach,NY,29219,2.5836,11309.45,America/New_York
11415,40.7079,-73.8282,Kew Gardens,NY,19372,0.5669,34173.87,America/New_York
11416,40.6846,-73.8496,Ozone Park,NY,27125,0.7220,37570.64,America/New_York
11417,40.6764,-73.8444,Ozone Park,NY,31927,1.2334,25884.61,America/New_York
11418,40.7002,-73.8362,Richmond Hill,NY,38517,1.7333,22221.85,America/New_York
11419,40.6886,-73.8230,South Richmond Hill,NY,49618,1.1765,42174.35,America/New_York
11420,40.6736,-73.8179,South Ozone Park,NY,48489,2.2711,21350.58,America/New_York
11421,40.6940,-73.8587,Woodhaven,NY,41002,1.3520,30327.22,America/New_York
11422,40.6604,-73.7363,Rosedale,NY,32082,2.1134,15180.19,America/New_York
11423,40.7156,-73.7684,Hollis,NY,31400,1.4820,21187.15,America/New_York
11426,40.7365,-73.7224,Bellerose,NY,20801,1.5954,13038.01,America/New_York
