city,state,latitude,longitude,population,area,density,time_zone
Anthony,TX,31.9769,-106.5978,7482,11.9422,626.52,America/Denver
Antigo,WI,45.1191,-89.1700,12849,205.8516,62.42,America/Chicago
Antimony,UT,37.9996,-111.9443,109,105.2128,1.04,America/Denver
Antioch,CA,37.9813,-121.7942,110721,29.4460,3760.14,America/Los_Angeles
Antioch,IL,42.4697,-88.0872,24066,32.2749,745.66,America/Chicago
Antioch,TN,36.0471,-86.6324,97819,50.1236,1951.56,America/Chicago
Antler,ND,48.9308,-101.2846,264,145.6156,1.81,America/Chicago
Antlers,OK,34.2276,-95.6104,6022,217.2996,27.71,America/Chicago
Antoine,AR,34.0245,-93.4194,64,1.0383,61.64,America/Chicago
Anton,CO,39.7326,-103.1073,120,115.8306,1.04,America/Denver
Anton,TX,33.8049,-102.1622,1566,131.4426,11.91,America/Chicago
Anton Chico,NM,35.2245,-105.1045,655,210.7473,3.11,America/Denver
Antonito,CO,37.1642,-106.2783,2070,799.2311,2.59,America/Denver
Antrim,NH,43.0540,-71.9823,3015,40.5609,74.33,America/New_York
Antwerp,NY,44.2403,-75.6252,1544,35.4846,43.51,America/New_York
Antwerp,OH,41.1899,-84.7311,3616,56.0701,64.49,America/New_York
Anvik,AK,62.6382,-160.2179,104,8.7293,11.91,America/Anchorage
Anza,CA,33.5135,-116.6439,4703,130.6358,36.00,America/Los_Angeles
Apache,OK,34.9089,-98.4027,3178,149.6381,21.24,America/Chicago
Apache Junction,AZ,33.4064,-111.5350,54242,66.7570,812.53,America/Phoenix
